Index;Organization Id;Name;Founded;Website;Country;Description;Industry;Number of employees
1;FAB0d41d5b5d22c;Ferrell LLC;1990;https://price.net/;Papua New Guinea;Horizontal empowering knowledgebase;Plastics;3498
2;6A7EdDEA9FaDC52;Mckinney, Riley and Day;2015;http://www.hall-buchanan.info/;Finland;User-centric system-worthy leverage;Glass / Ceramics / Concrete;4952
3;0bFED1ADAE4bcC1;Hester Ltd;1971;http://sullivan-reed.com/;China;Switchable scalable moratorium;Public Safety;5287
4;2bFC1Be8a4ce42f;Holder-Sellers;2004;https://becker.com/;Turkmenistan;De-engineered systemic artificial intelligence;Automotive;921
5;9eE8A6a4Eb96C24;Mayer Group;1991;http://www.brewer.com/;Mauritius;Synchronized needs-based challenge;Transportation;7870
6;cC757116fe1C085;Henry-Thompson;1992;http://morse.net/;Bahamas;Face-to-face well-modulated customer loyalty;Primary / Secondary Education;4914
7;219233e8aFF1BC3;Hansen-Everett;2018;https://www.kidd.org/;Pakistan;Seamless disintermediate collaboration;Publishing Industry;7832
8;ccc93DCF81a31CD;Mcintosh-Mora;1970;https://www.brooks.com/;Heard Island and McDonald Islands;Centralized attitude-oriented capability;Import / Export;4389
9;0B4F93aA06ED03e;Carr Inc;1996;http://ross.com/;Kuwait;Distributed impactful customer loyalty;Plastics;8167
10;738b5aDe6B1C6A5;Gaines Inc;1997;http://sandoval-hooper.com/;Uzbekistan;Multi-lateral scalable protocol;Outsourcing / Offshoring;9698
11;AE61b8Ffebbc476;Kidd Group;2001;http://www.lyons.com/;Bouvet Island (Bouvetoya);Proactive foreground paradigm;Primary / Secondary Education;7473
12;eb3B7D06cCdD609;Crane-Clarke;2014;https://www.sandoval.com/;Denmark;Front-line clear-thinking encryption;Food / Beverages;9011
13;8D0c29189C9798B;Keller, Campos and Black;2020;https://www.garner.info/;Liberia;Ameliorated directional emulation;Museums / Institutions;2862
14;D2c91cc03CA394c;Glover-Pope;2013;http://www.silva.biz/;United Arab Emirates;Persevering contextually-based approach;Medical Practice;9079
15;C8AC1eaf9C036F4;Pacheco-Spears;1984;https://aguilar.com/;Sweden;Secured logistical synergy;Maritime;769
16;b5D10A14f7a8AfE;Hodge-Ayers;1990;http://www.archer-elliott.com/;Honduras;Future-proofed radical implementation;Facilities Services;8508
17;68139b5C4De03B4;Bowers, Guerra and Krause;1972;http://www.carrillo-nicholson.com/;Uganda;De-engineered transitional strategy;Primary / Secondary Education;6986
18;5c2EffEfdba2BdF;Mckenzie-Melton;1998;http://montoya-thompson.com/;Hong Kong;Reverse-engineered heuristic alliance;Investment Management / Hedge Fund / Private Equity;4589
19;ba179F19F7925f5;Branch-Mann;1999;http://www.lozano.com/;Botswana;Adaptive intangible frame;Architecture / Planning;7961
20;c1Ce9B350BAc66b;Weiss and Sons;2011;https://barrett.com/;Korea;Sharable optimal functionalities;Plastics;5984
21;8de40AC4e6EaCa4;Velez, Payne and Coffey;1986;http://burton.com/;Luxembourg;Mandatory coherent synergy;Wholesale;5010
22;Aad86a4F0385F2d;Harrell LLC;2018;http://www.frey-rosario.com/;Guadeloupe;Reverse-engineered mission-critical moratorium;Construction;2185
23;22aC3FFd64fD703;Eaton, Reynolds and Vargas;2014;http://www.freeman.biz/;Monaco;Self-enabling multi-tasking process improvement;Luxury Goods / Jewelry;8987
24;5Ec4C272bCf085c;Robbins-Cummings;1991;http://donaldson-wilkins.com/;Belgium;Organic non-volatile hierarchy;Pharmaceuticals;5038
25;5fDBeA8BB91a000;Jenkins Inc;2002;http://www.kirk.biz/;South Africa;Front-line systematic help-desk;Insurance;1215
26;dFfD6a6F9AC2d9C;Greene, Benjamin and Novak;2012;http://www.kent.net/;Romania;Centralized leadingedge moratorium;Museums / Institutions;4941
27;4B217cC5a0674C5;Dickson, Richmond and Clay;1980;http://everett.com/;Czech Republic;Team-oriented tangible complexity;Real Estate / Mortgage;3122
28;88b1f1cDcf59a37;Prince-David;1970;http://thompson.com/;Christmas Island;Virtual holistic methodology;Banking / Mortgage;1046
29;f9F7bBCAEeC360F;Ayala LLC;2021;http://www.zhang.com/;Philippines;Open-source zero administration hierarchy;Legal Services;7664
30;7Cb3AeFcE4Ba31e;Rivas Group;1998;https://hebert.org/;Australia;Open-architected well-modulated capacity;Logistics / Procurement;4155
31;ccBcC32adcbc530;Sloan, Mays and Whitehead;1997;http://lawson.com/;Chad;Face-to-face high-level conglomeration;Civil Engineering;365
32;f5afd686b3d05F5;Durham, Allen and Barnes;1993;http://chan-stafford.org/;Zimbabwe;Synergistic web-enabled framework;Mechanical or Industrial Engineering;6135
33;38C6cfC5074Fa5e;Fritz-Franklin;1972;http://www.lambert.com/;Nepal;Automated 4thgeneration website;Hospitality;4516
34;5Cd7efccCcba38f;Burch-Ewing;1981;http://cline.net/;Taiwan;User-centric 4thgeneration system engine;Venture Capital / VC;7443
35;9E6Acb51e3F9d6F;Glass, Barrera and Turner;2020;https://dunlap.com/;Kyrgyz Republic;Multi-channeled 3rdgeneration open system;Utilities;2610
36;4D4d7E18321eaeC;Pineda-Cox;2010;http://aguilar.org/;Bolivia;Fundamental asynchronous capability;Human Resources / HR;1312
37;485f5d06B938F2b;Baker, Mccann and Macdonald;2013;http://www.anderson-barker.com/;Kenya;Cross-group user-facing focus group;Legislative Office;1638
38;19E3a5Bf6dBDc4F;Cuevas-Moss;1994;https://dodson-castaneda.net/;Guatemala;Extended human-resource intranet;Music;9995
39;6883A965c7b68F7;Hahn PLC;2012;http://newman.com/;Belarus;Organic logistical leverage;Electrical / Electronic Manufacturing;3715
40;AC5B7AA74Aa4A2E;Valentine, Ferguson and Kramer;1997;http://stuart.net/;Jersey;Centralized secondary time-frame;Non - Profit / Volunteering;3585
41;decab0D5027CA6a;Arroyo Inc;2006;https://www.turner.com/;Grenada;Managed demand-driven website;Writing / Editing;9067
42;dF084FbBb613eea;Walls LLC;1989;http://www.reese-vasquez.biz/;Cape Verde;Self-enabling fresh-thinking installation;Investment Management / Hedge Fund / Private Equity;1678
43;A2D89Ab9bCcAd4e;Mitchell, Warren and Schneider;2021;https://fox.biz/;Trinidad and Tobago;Enhanced intangible time-frame;Capital Markets / Hedge Fund / Private Equity;3816
44;77aDc905434a49f;Prince PLC;2016;https://www.watts.com/;Sweden;Profit-focused coherent installation;Individual / Family Services;7645
45;235fdEFE2cfDa5F;Brock-Blackwell;1986;http://www.small.com/;Benin;Secured foreground emulation;Online Publishing;7034
46;1eD64cFe986BBbE;Walton-Barnett;2001;https://ashley-schaefer.com/;Western Sahara;Right-sized clear-thinking flexibility;Luxury Goods / Jewelry;1746
47;CbBbFcdd0eaE2cF;Bartlett-Arroyo;1976;https://cruz.com/;Northern Mariana Islands;Realigned didactic function;Civic / Social Organization;3987
48;49aECbDaE6aBD53;Wallace, Madden and Morris;2016;http://www.blevins-fernandez.biz/;Germany;Persistent real-time customer loyalty;Pharmaceuticals;9443
49;7b3fe6e7E72bFa4;Berg-Sparks;1974;https://cisneros-love.com/;Canada;Stand-alone static implementation;Arts / Crafts;2073
50;c6DedA82A8aef7E;Gonzales Ltd;1988;http://bird.com/;Tonga;Managed human-resource policy;Consumer Goods;9069
51;7D9FBF85cdC3871;Lawson and Sons;2021;https://www.wong.com/;French Southern Territories;Compatible analyzing intranet;Arts / Crafts;3527
52;7dd18Fb7cB07b65;Mcguire, Mcconnell and Olsen;1988;https://melton-briggs.com/;Korea;Profound client-server frame;Printing;8445
53;EF5B55FadccB8Fe;Charles-Phillips;2012;https://bowman.com/;Cote d'Ivoire;Monitored client-server implementation;Mental Health Care;3450
54;f8D4B99e11fAF5D;Odom Ltd;2012;https://www.humphrey-hess.com/;Cote d'Ivoire;Advanced static process improvement;Management Consulting;1825
55;e24D21BFd3bF1E5;Richard PLC;1971;https://holden-coleman.net/;Mayotte;Object-based optimizing model;Broadcast Media;4942
56;B9BdfEB6D3Ca44E;Sampson Ltd;2005;https://blevins.com/;Cayman Islands;Intuitive local adapter;Farming;1418
57;2a74D6f3D3B268e;Cherry, Le and Callahan;2017;https://waller-delacruz.biz/;Nigeria;Universal human-resource collaboration;Entertainment / Movie Production;7202
58;Bf3F3f62c8aBC33;Cherry PLC;1980;https://www.avila.info/;Marshall Islands;Persistent tertiary website;Plastics;8245
59;aeBe26B80a7a23c;Melton-Nichols;2021;https://kennedy.com/;Palau;User-friendly clear-thinking productivity;Legislative Office;8741
60;aAeb29ad43886C6;Potter-Walsh;2008;http://thomas-french.org/;Turkey;Optional non-volatile open system;Human Resources / HR;6923
61;bD1bc6bB6d1FeD3;Freeman-Chen;1973;https://mathis.com/;Timor-Leste;Phased next generation adapter;International Trade / Development;346
62;EB9f456e8b7022a;Soto Group;1988;https://norris.info/;Vietnam;Enterprise-wide executive installation;Business Supplies / Equipment;9097
63;Dfef38C51D8DAe3;Poole, Cruz and Whitney;1978;https://reed.info/;Reunion;Balanced analyzing groupware;Marketing / Advertising / Sales;2992
64;055ffEfB2Dd95B0;Riley Ltd;1986;http://wiley.com/;Brazil;Optional exuding superstructure;Textiles;9315
65;cBfe4dbAE1699da;Erickson, Andrews and Bailey;2014;https://www.hobbs-grant.com/;Eritrea;Vision-oriented secondary project;Consumer Electronics;7829
66;fdFbecbadcdCdf1;Wilkinson, Charles and Arroyo;1996;http://hunter-mcfarland.com/;United States Virgin Islands;Assimilated 24/7 archive;Building Materials;602
67;5DCb8A5a5ca03c0;Floyd Ltd;2017;http://www.whitney.com/;Falkland Islands (Malvinas);Function-based fault-tolerant concept;Public Relations / PR;2911
68;ce57DCbcFD6d618;Newman-Galloway;1987;https://www.scott.com/;Luxembourg;Enhanced foreground collaboration;Information Technology / IT;3934
69;5aaD187dc929371;Frazier-Butler;1972;https://www.daugherty-farley.info/;Northern Mariana Islands;Persistent interactive circuit;Outsourcing / Offshoring;5130
70;902D7Ac8b6d476b;Newton Inc;1976;https://www.richmond-manning.info/;Netherlands Antilles;Fundamental stable info-mediaries;Military Industry;563
71;32BB9Ff4d939788;Duffy-Levy;1982;https://www.potter.com/;Guernsey;Diverse exuding installation;Wireless;6146
72;adcB0afbE58bAe3;Wagner LLC;1987;https://decker-esparza.com/;Uruguay;Reactive attitude-oriented toolset;International Affairs;6874
73;dfcA1c84AdB61Ac;Mccall-Holmes;2009;http://www.dean.com/;Benin;Object-based value-added database;Legal Services;696
74;208044AC2fe52F3;Massey LLC;1986;https://frazier.biz/;Suriname;Configurable zero administration Graphical User Interface;Accounting;5004
75;f3C365f0c1A0623;Hicks LLC;1970;http://alvarez.biz/;Pakistan;Quality-focused client-server Graphical User Interface;Computer Software / Engineering;8480
76;ec5Bdd3CBAfaB93;Cole, Russell and Avery;2000;http://www.blankenship.com/;Mongolia;De-engineered fault-tolerant challenge;Law Enforcement;7012
77;DDB19Be7eeB56B4;Cummings-Rojas;2012;https://simon-pearson.com/;Svalbard & Jan Mayen Islands;User-centric modular customer loyalty;Financial Services;7529
78;dd6CA3d0bc3cAfc;Beasley, Greene and Mahoney;1976;http://www.petersen-lawrence.com/;Togo;Extended content-based methodology;Religious Institutions;869
79;A0B9d56e61070e3;Beasley, Sims and Allison;1972;http://burke.info/;Latvia;Secured zero tolerance hub;Facilities Services;6182
80;cBa7EFe5D05Adaf;Crawford-Rivera;1999;https://black-ramirez.org/;Cuba;Persevering exuding budgetary management;Online Publishing;7805
81;Ea3f6D52Ec73563;Montes-Hensley;2009;https://krueger.org/;Liechtenstein;Multi-tiered secondary productivity;Printing;8433
82;bC0CEd48A8000E0;Velazquez-Odom;2002;https://stokes.com/;Djibouti;Streamlined 6thgeneration function;Alternative Dispute Resolution;4044
83;c89b9b59BC4baa1;Eaton-Morales;1990;https://www.reeves-graham.com/;Micronesia;Customer-focused explicit frame;Capital Markets / Hedge Fund / Private Equity;7013
84;FEC51bce8421a7b;Roberson, Pennington and Palmer;1993;http://www.keith-fisher.com/;Cameroon;Adaptive bi-directional hierarchy;Telecommunications;5571
